Billy Powell	43	IT	26/09/2018	michael29@hotmail.com
Linda Butler	35	Finance	26/06/2020	hkline@thomas.org
Russell Jackson	57	Customer Service	09/12/2021	robertriddle@martin.info
Rebecca Buchanan	35	Logistics	06/12/2022	apayne@nunez.com
Leon Shaw	46	IT	06/09/2024	christina41@martin.com
Kathleen Ward	57	Logistics	09/06/2023	xgamble@guzman.com
George Smith	28	HR	28/06/2022	middletonmichele@tate.com
Shawna Ellison	29	Customer Service	11/02/2025	christinawilkerson@hotmail.com
Paul Allen	51	Customer Service	26/09/2017	jennifer19@beasley.com
Daniel Taylor	50	IT	18/08/2018	jilllove@gmail.com
April Taylor	60	Logistics	23/03/2020	millerandrew@gmail.com
Carlos Morrow	43	IT	04/11/2017	vaughnedward@jenkins-harper.biz
Debbie Carter	24	Finance	18/05/2023	johnsoneric@johnson.com
Alexander Brown	22	IT	26/03/2023	browncharles@perry.net
Erika Patterson	47	Customer Service	07/11/2018	josephgomez@gmail.com
Anthony Henson	34	Customer Service	16/10/2017	dawn59@mcmahon.com
Taylor Barnes	39	HR	27/09/2022	lowedrew@smith.com
Craig Powell	42	HR	22/09/2022	stevenfreeman@morales.com
Tracey Foley	29	HR	05/03/2024	taylorlisa@davis.com
Cindy Miller	23	Finance	22/07/2022	walkerjoshua@adams.biz
Dana Allen	39	Finance	11/10/2016	kchapman@yahoo.com
Wendy Nelson	54	Logistics	10/08/2024	qbuchanan@petty.info
Marcus Johnson	22	Finance	23/01/2020	pharvey@ray.com
Nicholas Clark	46	Customer Service	03/03/2019	rmartin@gutierrez.com
Jorge Wilson	39	Finance	25/08/2015	xolson@edwards.com
Tami Herrera	32	IT	10/02/2020	rodriguezjerry@sanchez.org
Karen Martinez	45	Logistics	15/09/2024	paul38@yahoo.com
Charlene Dorsey	31	IT	24/07/2024	rebeccaweaver@hotmail.com
Ralph Todd	26	Finance	21/01/2025	djimenez@fernandez.org
Anthony Mcgee	45	Logistics	14/07/2016	awilliams@hoffman-stewart.com
Gregory Lynch	37	Finance	14/03/2024	harryjones@hotmail.com
Angela Garcia	24	Customer Service	01/09/2016	gmiller@gmail.com
Kenneth King	36	Finance	02/12/2023	kperez@mcpherson.com
Samuel Jones	31	IT	08/09/2015	nelsonjennifer@yahoo.com
Mr. William Dunn DDS	56	HR	22/07/2022	shawdavid@gmail.com
Kathleen Martin	27	HR	29/06/2023	katie30@gmail.com
Lauren Barker	43	IT	11/06/2022	taraandrews@johnson-warren.com
Sara Schultz	59	Finance	11/11/2023	linjoseph@yahoo.com
Ross Young	24	HR	02/02/2022	robert28@hotmail.com
Lori Stevens	47	Customer Service	03/11/2015	melissalee@gmail.com
